"pointid","xcoord","ycoord"
463,1503106.50619754,4055622.9601195
464,1503012.79101093,4055373.05295521
465,1502544.21507788,4055685.43691057
466,1502731.6454511,4055560.48332842
467,1498670.65403139,4055685.43691057
468,1498389.50847157,4055466.76814181
469,1497889.69414299,4055685.43691057
470,1498389.50847157,4055747.91370164
471,1497171.21104565,4055747.91370164
472,1497046.25746351,4055810.39049271
473,1502731.6454511,4055779.15209718
474,1500170.09701713,4055810.39049271
475,1503293.93657075,4055841.62888825
476,1497577.31018762,4055872.86728379
477,1497546.07179209,4055966.58247039
478,1502419.26149574,4055904.10567932
479,1499201.70675551,4055904.10567932
480,1496733.87350815,4055904.10567932
481,1499951.42824838,4055935.34407486
482,1499482.85231533,4055966.58247039
483,1498295.79328496,4056091.53605254
484,1498108.36291174,4056122.77444808
485,1498045.88612067,4056091.53605254
486,1498170.83970281,4056247.72803022
