"pointid","xcoord","ycoord"
376,430076.089077928,3959762.97638794
377,430292.915148586,3959948.82730565
378,430199.989689733,3959917.8521527
379,429549.511477758,3959948.82730565
380,429890.238160221,3959979.8024586
381,430045.113924977,3959824.92669385
382,430602.666678098,3959979.8024586
383,430199.989689733,3959948.82730565
384,429952.188466123,3959948.82730565
385,429518.536324807,3960134.67822336
386,429983.163619074,3960165.65337631
387,429952.188466123,3960041.7527645
388,430540.716372196,3960165.65337631
389,430230.964842684,3960010.77761155
390,430726.567289903,3960196.62852926
391,430385.84060744,3960258.57883516
392,430292.915148586,3960165.65337631
393,430261.939995635,3960134.67822336
394,430850.467901707,3960320.52914106
395,429766.337548416,3960382.47944697
396,429890.238160221,3960258.57883516
397,430540.716372196,3960413.45459992
398,430292.915148586,3960196.62852926
399,430354.865454488,3960413.45459992
400,430323.890301537,3960382.47944697
401,430571.691525147,3960599.30551762
402,429580.486630709,3960754.18128238
403,429704.387242514,3960816.13158828
404,429828.287854319,3960816.13158828
405,430230.964842684,3960258.57883516
406,430138.03938383,3960847.10674123
407,430540.716372196,3960909.05704714
408,429797.312701367,3960909.05704714
409,430354.865454488,3960971.00735304
410,430323.890301537,3960971.00735304
411,430633.641831049,3961187.8334237
412,430509.741219244,3961187.8334237
413,430385.84060744,3961063.93281189
414,430540.716372196,3961280.75888255
415,430354.865454488,3961311.7340355
416,430416.815760391,3961125.88311779
417,430354.865454488,3961342.70918845
